"","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Engine","Power","Seats","Price","Make","Gama","kmpl","kmpkg","Price.mod2"
"24","Hyundai i20 Asta Option 1.2","Mumbai",2015,39000,"Petrol","Manual","First",1197,81.83,5,5.5,"Hyundai","Gama media",18.6,0,0.707030572259014
"25","Mahindra Scorpio VLX 2WD BSIV","Kolkata",2014,45128,"Diesel","Manual","First",2179,120,8,6.75,"Mahindra","Gama alta",12.05,0,1.06992105407905
"26","Hyundai i20 1.4 Asta (AT)","Chennai",2009,72000,"Petrol","Automatic","Third",1396,100,5,3.25,"Hyundai","Gama media",15,0,0.485987584787079
"27","Hyundai Creta 1.6 CRDi SX","Kochi",2017,30519,"Diesel","Manual","First",1582,126.2,5,12.81,"Hyundai","Gama media",19.67,0,1.0433784822398
"28","Ford Ecosport 1.5 DV5 MT Trend","Kochi",2015,65925,"Diesel","Manual","Second",1498,89.84,5,5.49,"Ford","Gama media",22.7,0,0.756083113877806
"29","Hyundai i10 Era 1.1","Jaipur",2008,82203,"Petrol","Manual","First",1086,68.05,5,1.8,"Hyundai","Gama media",19.81,0,0.229403523244587
"30","Maruti Swift VDi BSIII W/ ABS","Jaipur",2015,50000,"Diesel","Manual","First",1248,75,5,5.7,"Maruti","Gama media",17.8,0,0.661250729664634
"31","Maruti Ciaz ZXi Option","Kochi",2016,40347,"Petrol","Manual","First",1373,91.2,5,7.8,"Maruti","Gama media",20.73,0,0.818370375471514
"32","Honda Civic 2006-2010 1.8 S MT","Ahmedabad",2007,51000,"Petrol","Manual","First",1799,130,5,4.9,"Honda","Gama media",13.5,0,0.515007423231252
"33","Honda Amaze SX i-VTEC","Mumbai",2014,29000,"Petrol","Manual","First",1198,86.7,5,4.25,"Honda","Gama media",18,0,0.683000702894697
"34","Hyundai Xcent 1.2 Kappa SX","Kolkata",2016,32000,"Petrol","Manual","First",1197,82,5,3.6,"Hyundai","Gama media",19.1,0,0.762516046830334
"35","Hyundai i20 2015-2017 Magna 1.2","Pune",2016,20600,"Petrol","Manual","First",1197,81.83,5,5.4,"Hyundai","Gama media",18.6,0,0.761425953736276
"36","Audi Q7 35 TDI Quattro Technology","Coimbatore",2016,28733,"Diesel","Automatic","Second",2967,241.4,7,53.11,"Audi","Gama alta",12.07,0,1.54585247761628
"37","Maruti Swift VXI","Mumbai",2016,23555,"Petrol","Manual","First",1197,81.8,5,5.1,"Maruti","Gama media",22,0,0.761233349306445
"38","Mercedes-Benz New C-Class C 220 CDI Style","Jaipur",2016,58205,"Diesel","Automatic","First",2143,167.62,5,27,"Mercedes-Benz","Gama alta",19.27,0,1.35425925240539
"39","Mahindra XUV500 W8 2WD","Mumbai",2012,35000,"Diesel","Manual","First",2179,140,7,8.25,"Mahindra","Gama alta",16,0,1.04210015162031
"40","Toyota Innova 2.5 G (Diesel) 8 Seater","Hyderabad",2015,84415,"Diesel","Manual","First",2494,100.6,8,13.5,"Toyota","Gama alta",12.99,0,1.03169158611825
"41","Hyundai Verna 1.6 EX VTVT","Kolkata",2014,58000,"Petrol","Manual","First",1591,121.3,5,4.59,"Hyundai","Gama media",17.01,0,0.859391272825562
"42","Audi A4 35 TDI Premium","Hyderabad",2015,60000,"Diesel","Automatic","First",1968,174.33,5,25,"Audi","Gama alta",17.11,0,1.32048078238461
"43","Maruti Swift Dzire VDi","Jaipur",2010,130000,"Diesel","Manual","Second",1248,73.9,5,4,"Maruti","Gama media",19.3,0,0.38151289113152
"44","Audi Q7 35 TDI Quattro Technology","Coimbatore",2016,32545,"Diesel","Automatic","First",2967,241.4,7,48.76,"Audi","Gama alta",12.07,0,1.54585247761628
"45","Honda Civic 2006-2010 1.8 S AT","Pune",2008,152633,"Petrol","Automatic","First",1799,130,5,3,"Honda","Gama media",12.9,0,0.569402804708514
"46","Toyota Fortuner 4x2 Manual","Mumbai",2012,131765,"Diesel","Manual","First",2982,168.5,7,13.5,"Toyota","Gama alta",13,0,1.13942813531541
"47","Audi A8 L 3.0 TDI quattro","Delhi",2012,56000,"Diesel","Automatic","First",2967,246.7,5,45,"Audi","Gama alta",11.8,0,1.33967849363591
"48","Hyundai Verna CRDi 1.4 E","Chennai",2008,121097,"Diesel","Manual","Second",1396,88.76,5,1.9,"Hyundai","Gama media",24,0,0.368962784637497
"49","Hyundai Verna Transform SX VTVT","Bangalore",2011,61000,"Petrol","Manual","Second",1599,103.2,5,3.4,"Hyundai","Gama media",16.2,0,0.611323475407978
"50","Maruti Ertiga VDI","Kolkata",2013,53073,"Diesel","Manual","First",1248,88.76,7,5.95,"Maruti","Gama media",20.77,0,0.640939692023807
"51","Tata Xenon XT EX 4X2","Jaipur",2017,1000,"Diesel","Manual","First",2179,138.03,5,7.5,"Tata","Gama baja",13.49,0,0.972902403536211
"52","Audi A4 35 TDI Premium Plus","Kochi",2015,13506,"Diesel","Automatic","First",1968,187.74,5,21.66,"Audi","Gama alta",18.25,0,1.35940706006069
"53","Hyundai Elantra CRDi SX","Coimbatore",2019,41871,"Diesel","Manual","First",1582,126.2,5,15.57,"Hyundai","Gama media",22.7,0,1.15216924519433
"54","Volkswagen Vento Diesel Highline","Pune",2013,95500,"Diesel","Manual","First",1598,103.6,5,5,"Volkswagen","Gama media",20.54,0,0.722146211399471
"55","Skoda Octavia Elegance 2.0 TDI AT","Hyderabad",2015,122086,"Diesel","Automatic","First",1968,141,5,12.99,"Skoda","Gama media",19.3,0,0.992835304984648
"56","Hyundai Grand i10 1.2 CRDi Sportz Option","Jaipur",2017,26877,"Diesel","Manual","First",1186,73.97,5,5.75,"Hyundai","Gama media",24,0,0.762777870040648
"57","Chevrolet Beat LS","Delhi",2011,76155,"Petrol","Manual","First",1199,79.4,5,1.95,"Chevrolet","Gama baja",18.6,0,0.356073263111611
"58","Honda Jazz VX","Delhi",2015,62178,"Petrol","Manual","First",1199,88.7,5,4.85,"Honda","Gama media",18.2,0,0.749375266612489
"59","Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV","Pune",2013,105000,"Diesel","Manual","Second",2179,120,8,7,"Mahindra","Gama alta",12.05,0,1.01552567260178
"60","Toyota Fortuner 2.8 2WD AT","Coimbatore",2019,28069,"Diesel","Automatic","First",2755,174.5,7,30.85,"Toyota","Gama alta",12.9,0,1.53857427659237
"61","Maruti Alto LXi","Delhi",2008,90000,"Petrol","Manual","Second",796,46.3,5,1.25,"Maruti","Gama media",19.7,0,0.0271238090250287
"62","Tata Sumo Delux","Hyderabad",2000,158000,"Diesel","Manual","Second",2956,83.1,7,1.5,"Tata","Gama baja",14.07,0,-0.218352066681812
"63","Hyundai i20 Active 1.2 SX","Coimbatore",2017,35043,"Petrol","Manual","First",1197,81.86,5,8.19,"Hyundai","Gama media",17.19,0,0.816013869044884
"64","Toyota Corolla Altis 2008-2013 1.8 VL AT","Pune",2011,88000,"Petrol","Automatic","First",1794,138.1,5,6.45,"Toyota","Gama alta",14.53,0,0.980527367475367
"65","Maruti Ertiga VDI","Kolkata",2014,47052,"Diesel","Manual","First",1248,88.76,7,5.99,"Maruti","Gama media",20.77,0,0.695335073501069
"66","Toyota Innova 2.5 V Diesel 7-seater","Hyderabad",2011,136490,"Diesel","Manual","First",2494,102,7,9.8,"Toyota","Gama alta",12.8,0,0.821369505718418
"67","Renault KWID RXT","Chennai",2016,45000,"Petrol","Manual","First",799,53.3,5,2.6,"Renault","Gama media",25.17,0,0.536241127646964
"68","Jaguar XF 2.2 Litre Luxury","Coimbatore",2016,47877,"Diesel","Automatic","First",2179,187.7,5,35.68,"Jaguar","Gama alta",16.36,0,1.41369051646294
"69","Maruti Swift VDI","Kochi",2015,46561,"Diesel","Manual","First",1248,74,5,4.94,"Maruti","Gama media",22.9,0,0.654200095279217
"70","Audi Q7 3.0 TDI Quattro Premium Plus","Mumbai",2008,99000,"Diesel","Automatic","Third",2967,241.4,7,12.95,"Audi","Gama alta",12.07,0,1.11068942579818
"71","Toyota Innova 2.5 V Diesel 7-seater","Coimbatore",2011,45004,"Diesel","Manual","First",2494,102,7,9.48,"Toyota","Gama alta",12.8,0,0.821369505718418
"72","Honda City i VTEC CVT VX","Mumbai",2015,32896,"Petrol","Automatic","First",1497,117.3,5,8.9,"Honda","Gama media",18,0,0.896173457611725
"73","Maruti Swift VDI","Jaipur",2013,88000,"Diesel","Manual","First",1248,74,5,4.33,"Maruti","Gama media",22.9,0,0.545409332324693
"74","Mitsubishi Pajero Sport 4X4 AT","Coimbatore",2019,11827,"Diesel","Automatic","First",2477,175.56,6,27.11,"Mitsubishi","Gama alta",13.5,0,1.54175534234816
"75","Maruti Alto LXi","Hyderabad",2011,76976,"Petrol","Manual","Second",796,46.3,5,2.15,"Maruti","Gama media",19.7,0,0.190309953456815
"76","Mahindra XUV500 W8 2WD","Ahmedabad",2015,72007,"Diesel","Manual","First",2179,140,7,9.9,"Mahindra","Gama alta",15.1,0,1.20528629605209
"77","Maruti Wagon R VXI AMT","Delhi",2016,30000,"Petrol","Automatic","First",998,67,5,4.25,"Maruti","Gama media",22.5,0,0.656398656406462
"78","Skoda Rapid 1.5 TDI Elegance","Mumbai",2013,23000,"Diesel","Manual","First",1498,103.52,5,4.95,"Skoda","Gama media",21.14,0,0.721740445156811
"79","BMW 5 Series 2003-2012 520d","Delhi",2013,76000,"Diesel","Automatic","First",1995,177,5,19,"Bmw","Gama alta",18.48,0,1.21967386869977
"80","Hyundai i10 Sportz","Coimbatore",2012,47324,"Petrol","Manual","Second",1197,78.9,5,4.52,"Hyundai","Gama media",20.36,0,0.524691872240756
"81","Hyundai i20 1.4 CRDi Sportz","Bangalore",2012,67000,"Diesel","Manual","First",1396,90,5,4.5,"Hyundai","Gama media",23,0,0.59383160381184
"82","Ford Fiesta Diesel Style","Chennai",2013,177000,"Diesel","Manual","First",1498,88.7,5,3.5,"Ford","Gama media",23.5,0,0.640584503657965
"83","Maruti SX4 S Cross DDiS 320 Zeta","Mumbai",2016,38000,"Diesel","Manual","First",1598,118,5,7.85,"Maruti","Gama media",22.7,0,0.953694093208846
"84","Hyundai Verna 1.6 SX","Hyderabad",2012,65000,"Diesel","Manual","First",1582,126.32,5,6.2,"Hyundai","Gama media",22.32,0,0.771900796536883
"85","Hyundai Grand i10 Asta","Kolkata",2015,15305,"Petrol","Manual","First",1197,82,5,3.75,"Hyundai","Gama media",18.9,0,0.708120665353071
"86","Volkswagen Vento Diesel Highline","Chennai",2012,55000,"Diesel","Manual","First",1598,103.6,5,4.9,"Volkswagen","Gama media",20.54,0,0.667750829922209
"87","Fiat Avventura MULTIJET Emotion","Mumbai",2015,32000,"Diesel","Manual","First",1248,91.72,5,5.65,"Fiat","Gama baja",20.5,0,0.64942002013532
"88","Mahindra XUV500 W8 4WD","Coimbatore",2015,42999,"Diesel","Manual","First",2179,140,7,11.52,"Mahindra","Gama alta",15.1,0,1.20528629605209
"89","Honda City i-VTEC VX","Coimbatore",2013,38622,"Petrol","Manual","First",1497,117.3,5,6.26,"Honda","Gama media",17.4,0,0.787382694657201
"90","Toyota Innova 2.5 G (Diesel) 8 Seater","Hyderabad",2016,81424,"Diesel","Manual","First",2494,100.6,8,14.49,"Toyota","Gama alta",12.99,0,1.08608696759551
"91","Volkswagen Vento Diesel Highline","Kolkata",2011,35000,"Diesel","Manual","First",1598,103.6,5,3.15,"Volkswagen","Gama media",20.54,0,0.613355448444947
"92","Hyundai i20 Asta (o)","Delhi",2014,42365,"Petrol","Manual","First",1197,80,5,5.5,"Hyundai","Gama media",17,0,0.640755134156331
"93","Skoda Superb Ambition 2.0 TDI CR AT","Delhi",2012,56400,"Diesel","Automatic","First",1968,138.1,5,8,"Skoda","Gama media",17.2,0,0.818733205625964
"94","Mahindra Thar DI 4X4","Kochi",2019,13024,"Diesel","Manual","First",2523,63,7,9.11,"Mahindra","Gama alta",18.06,0,1.00344017597205
"95","Audi A6 2011-2015 2.0 TDI","Kochi",2014,62012,"Diesel","Automatic","First",1968,174.33,5,20.12,"Audi","Gama alta",17.68,0,1.26608540090734
"96","Maruti Alto 800 2016-2019 LXI","Mumbai",2016,24000,"Petrol","Manual","First",796,47.3,5,2.8,"Maruti","Gama media",24.7,0,0.473510885659594
"97","Skoda Rapid 1.5 TDI Ambition Plus","Bangalore",2014,52000,"Diesel","Manual","First",1498,103.6,5,6.2,"Skoda","Gama media",21.14,0,0.776541592876733
"98","Honda City 1.5 V AT Sunroof","Kochi",2016,47681,"Petrol","Automatic","First",1497,116.3,5,8.73,"Honda","Gama media",16.8,0,0.946071685119768
"99","Honda Jazz Select Edition","Kolkata",2010,45000,"Petrol","Manual","First",1198,88.8,5,1.99,"Honda","Gama media",16.7,0,0.477990206471898
"100","Maruti Ciaz VDi","Jaipur",2017,62691,"Diesel","Manual","First",1248,88.5,5,7.5,"Maruti","Gama media",26.21,0,0.85698033070009
"101","Maruti Alto 800 VXI","Coimbatore",2016,18043,"Petrol","Manual","First",796,47.3,5,4.12,"Maruti","Gama media",22.74,0,0.473510885659594
"102","Maruti Wagon R Stingray LXI","Hyderabad",2014,55277,"Petrol","Manual","First",998,67.04,5,3.9,"Maruti","Gama media",20.51,0,0.547921390551667
"103","Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde","Kolkata",2014,34233,"Diesel","Automatic","First",2143,203,5,22.5,"Mercedes-Benz","Gama alta",14.21,0,1.34606001381832
"104","Volkswagen Vento Petrol Highline","Mumbai",2014,45000,"Petrol","Manual","First",1598,103.6,5,4.8,"Volkswagen","Gama media",15.04,0,0.776541592876733
"105","Hyundai Santa Fe 4WD AT","Bangalore",2015,59000,"Diesel","Automatic","First",2199,194.3,7,21,"Hyundai","Gama media",13.01,0,1.16125789475475
"106","Maruti Ritz VDi","Hyderabad",2012,146824,"Diesel","Manual","First",1248,73.9,5,3.55,"Maruti","Gama media",21.1,0,0.490303654086044
"107","Mahindra XUV500 W8 4WD","Hyderabad",2013,49000,"Diesel","Manual","First",2179,140,7,9,"Mahindra","Gama alta",16,0,1.09649553309757
"108","Maruti Swift Dzire LDI","Delhi",2013,72000,"Diesel","Manual","First",1248,74,5,2.69,"Maruti","Gama media",23.4,0,0.545409332324693
"109","Maruti Ertiga ZDI","Mumbai",2014,64000,"Diesel","Manual","First",1248,88.8,7,7.25,"Maruti","Gama media",20.77,0,0.695571732380946
"110","Ford EcoSport 1.5 TDCi Titanium","Bangalore",2015,47037,"Diesel","Manual","Second",1498,98.59,5,7,"Ford","Gama media",22.77,0,0.804900935997634
"111","Hyundai EON Magna Plus","Coimbatore",2015,26568,"Petrol","Manual","First",814,55.2,5,3.79,"Hyundai","Gama media",21.1,0,0.500243982941443
"112","Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"Diesel","Automatic","First",1968,174.33,5,23.32,"Audi","Gama alta",17.11,0,1.32048078238461
"113","Audi A4 35 TDI Premium","Coimbatore",2016,68193,"Diesel","Automatic","First",1968,174.33,5,24.74,"Audi","Gama alta",17.11,0,1.37487616386187
"114","Toyota Camry W4 (AT)","Mumbai",2010,62714,"Petrol","Automatic","First",2362,164.7,5,4.5,"Toyota","Gama alta",12.1,0,1.01865603281766
"115","Maruti Ciaz ZDi Plus","Coimbatore",2018,68737,"Diesel","Manual","First",1248,88.5,5,9.32,"Maruti","Gama media",26.21,0,0.911375712177352
"116","Mercedes-Benz GL-Class 350 CDI Blue Efficiency","Delhi",2014,85000,"Diesel","Automatic","First",2987,254.8,7,38.75,"Mercedes-Benz","Gama alta",11.3,0,1.46543839504831
"117","Audi A6 2011-2015 2.0 TDI Premium Plus","Kochi",2014,51495,"Diesel","Automatic","First",1968,174.33,5,21.95,"Audi","Gama alta",17.68,0,1.26608540090734
"118","Maruti Swift Dzire VDi","Jaipur",2014,65000,"Diesel","Manual","First",1248,73.9,5,5.31,"Maruti","Gama media",19.3,0,0.599094417040568
"119","Tata Indigo CS eVX","Chennai",2015,100073,"Diesel","Manual","Second",1396,69.01,5,2,"Tata","Gama baja",25,0,0.49998806425789
"120","Hyundai Verna VTVT 1.6 SX Option","Delhi",2013,57478,"Petrol","Manual","Second",1591,121.3,5,5.25,"Hyundai","Gama media",17,0,0.8049958913483
"121","Mahindra Bolero ZLX","Jaipur",2016,65000,"Diesel","Manual","First",2523,62.1,7,7.21,"Mahindra","Gama alta",15.96,0,0.832696140355402
"122","Hyundai i20 Sportz 1.2","Delhi",2015,42000,"Petrol","Manual","Second",1197,81.83,5,5.8,"Hyundai","Gama media",18.6,0,0.707030572259014
"123","Ford Classic 1.4 Duratorq Titanium","Chennai",2014,83500,"Diesel","Manual","Second",1399,67,5,3,"Ford","Gama media",19.68,0,0.547607893451938
"124","BMW 5 Series 520d Luxury Line","Mumbai",2012,61240,"Diesel","Automatic","First",1995,190,5,17.5,"Bmw","Gama alta",22.48,0,1.20250625290926
"125","Maruti Alto K10 2010-2014 VXI","Chennai",2011,91211,"Petrol","Manual","First",998,67.1,5,2.1,"Maruti","Gama media",20.92,0,0.385205141223534
"126","Maruti Wagon R AMT VXI","Jaipur",2017,34000,"Petrol","Automatic","First",998,67,5,4.35,"Maruti","Gama media",20.51,0,0.710794037883724
"127","Honda Accord 2001-2003 2.3 VTi L AT","Jaipur",2009,88000,"Petrol","Automatic","First",2354,142,5,5.25,"Honda","Gama media",11.1,0,0.670175147295556
"128","Hyundai Grand i10 Magna","Jaipur",2014,42355,"Petrol","Manual","First",1197,82,5,4,"Hyundai","Gama media",18.9,0,0.65372528387581
"129","Audi Q7 45 TDI Quattro Premium Plus","Kochi",2019,6773,"Diesel","Automatic","First",2967,245,7,72.94,"Audi","Gama alta",14.75,0,1.71681405905298
"130","Maruti Alto LXi BSIII","Bangalore",2011,64000,"Petrol","Manual","First",796,46.3,5,2.39,"Maruti","Gama media",19.7,0,0.190309953456815
"131","Maruti Baleno RS Petrol","Coimbatore",2018,26731,"Petrol","Manual","First",998,100,5,8.61,"Maruti","Gama media",21.1,0,0.975546018082438
"132","Hyundai Grand i10 1.2 Kappa Asta","Coimbatore",2016,37429,"Petrol","Manual","First",1197,81.86,5,5.89,"Hyundai","Gama media",18.9,0,0.761618487567622
"133","Mercedes-Benz M-Class ML 250 CDI","Mumbai",2016,52000,"Diesel","Automatic","First",2143,203.2,5,35,"Mercedes-Benz","Gama alta",15.26,0,1.45536802386043
"134","Toyota Fortuner 4x2 Manual","Delhi",2012,115000,"Diesel","Manual","First",2982,168.5,7,12.99,"Toyota","Gama alta",13,0,1.13942813531541
"135","Hyundai Grand i10 Asta Option","Coimbatore",2017,31576,"Petrol","Manual","First",1197,82,5,7.85,"Hyundai","Gama media",18.9,0,0.816911428307596
"136","Skoda Laura Ambiente 2.0 TDI CR AT","Chennai",2013,120000,"Diesel","Automatic","First",1968,138.1,5,6.95,"Skoda","Gama media",20,0,0.873128587103226
"137","Maruti Alto Std","Hyderabad",2004,81500,"Petrol","Manual","Second",796,46.3,5,1.3,"Maruti","Gama media",19.7,0,-0.190457716884019
"138","Audi A4 2.0 TDI 177 Bhp Premium Plus","Bangalore",2014,21000,"Diesel","Automatic","First",1968,174.33,5,24.5,"Audi","Gama alta",17.11,0,1.26608540090734
"139","Maruti Vitara Brezza LDi","Chennai",2016,45000,"Diesel","Manual","First",1248,88.5,5,7.15,"Maruti","Gama media",24.3,0,0.802584949222828
"140","Audi A4 35 TDI Premium","Coimbatore",2016,39644,"Diesel","Automatic","First",1968,174.33,5,25.75,"Audi","Gama alta",17.11,0,1.37487616386187
"141","Maruti Alto LXi BSIII","Hyderabad",2008,66000,"Petrol","Manual","First",796,46.3,5,1.7,"Maruti","Gama media",19.7,0,0.0271238090250287
"142","Maruti Omni E MPI STD BS IV","Jaipur",2015,15000,"Petrol","Manual","First",796,34.2,8,2.35,"Maruti","Gama media",16.8,0,0.248780329426168
"143","Volvo S60 D4 KINETIC","Ahmedabad",2015,34000,"Diesel","Automatic","First",1984,181,5,20,"Volvo","Gama alta",9,0,1.34020287153476
"144","Tata Manza Aqua Safire","Mumbai",2010,41195,"Petrol","Manual","First",1368,90,5,1.38,"Tata","Gama baja",15,0,0.367499444400757
"145","Toyota Corolla Altis D-4D GL","Mumbai",2014,74219,"Diesel","Manual","First",1364,87.2,5,10.75,"Toyota","Gama alta",21.43,0,0.90221075123827
"146","Toyota Etios Cross 1.4L GD","Kochi",2016,36681,"Diesel","Manual","First",1364,67.06,5,6.71,"Toyota","Gama alta",23.59,0,0.873058375245652
"147","Honda WRV i-VTEC VX","Hyderabad",2017,15000,"Petrol","Manual","First",1199,88.7,5,8.9,"Honda","Gama media",17.5,0,0.858166029567013
"148","Volkswagen Polo Petrol Comfortline 1.2L","Jaipur",2015,59000,"Petrol","Manual","Second",1198,73.9,5,4.9,"Volkswagen","Gama media",16.47,0,0.65348979851783
"149","Honda City 1.5 V MT Exclusive","Mumbai",2013,45000,"Petrol","Manual","First",1497,118,5,4.55,"Honda","Gama media",17,0,0.79050794877706
"150","Maruti Baleno LXI","Pune",2006,155000,"Petrol","Manual","Third",1590,94,5,0.85,"Maruti","Gama media",15.4,0,0.29030049509324
"151","Toyota Corolla Altis 1.8 GL","Chennai",2009,32000,"Petrol","Manual","Second",1798,138.03,5,4.95,"Toyota","Gama alta",14.28,0,0.871470291501339
"152","Volkswagen Polo Petrol Comfortline 1.2L","Coimbatore",2016,26981,"Petrol","Manual","First",1198,73.9,5,6.16,"Volkswagen","Gama media",16.47,0,0.707885179995092
"153","Maruti Swift Dzire ZXi","Coimbatore",2013,59254,"Petrol","Manual","Second",1298,85.8,5,5.29,"Maruti","Gama media",17.5,0,0.623124252118113
"154","Mercedes-Benz New C-Class C 220 CDI CLASSIC","Jaipur",2009,116000,"Diesel","Manual","Second",2148,170,5,8.5,"Mercedes-Benz","Gama alta",15.8,0,0.980897244766969
"155","Land Rover Freelander 2 SE","Hyderabad",2011,68000,"Diesel","Automatic","First",2179,147.51,5,22,"Land Rover","Gama alta",12.39,0,1.01515169710322
"156","Maruti Swift Dzire 1.2 Vxi BSIV","Mumbai",2015,60000,"Petrol","Manual","First",1197,85.8,5,4.8,"Maruti","Gama media",17.5,0,0.731915015072637
"157","Toyota Corolla Altis 1.8 G","Bangalore",2016,16471,"Petrol","Manual","Second",1798,138.03,5,11.5,"Toyota","Gama alta",14.28,0,1.25223796184217
"158","Mercedes-Benz New C-Class C 220d Avantgarde Edition C","Coimbatore",2018,20604,"Diesel","Automatic","First",2143,167.62,5,39.62,"Mercedes-Benz","Gama alta",19.27,0,1.46305001535991
"159","Hyundai Santro Xing GLS","Chennai",2010,115000,"Petrol","Manual","Second",1086,62.1,5,1.5,"Hyundai","Gama media",17.92,0,0.290134308165165
"160","Mercedes-Benz New C-Class 220 CDI AT","Hyderabad",2012,86000,"Diesel","Automatic","First",2143,170,5,19,"Mercedes-Benz","Gama alta",14.84,0,1.14408338919876
"161","Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command","Hyderabad",2014,51355,"Diesel","Automatic","First",2143,170,5,27,"Mercedes-Benz","Gama alta",14.84,0,1.25287415215328
"162","Honda City 1.5 GXI","Mumbai",2005,81000,"Petrol","Manual","Second",1493,100,5,1.1,"Honda","Gama media",12.8,0,0.268406058878031
"163","Renault Duster 110PS Diesel RxZ Plus","Mumbai",2013,75000,"Diesel","Manual","Second",1461,108.45,5,5.4,"Renault","Gama media",19.64,0,0.746178058470088
"164","Mahindra XUV500 W8 2WD","Kolkata",2013,87284,"Diesel","Manual","First",2179,140,7,7.8,"Mahindra","Gama alta",15.1,0,1.09649553309757
"165","BMW 5 Series 520d Luxury Line","Delhi",2013,65000,"Diesel","Automatic","First",1995,190,5,21.26,"Bmw","Gama alta",22.48,0,1.25690163438653
"166","Honda City 1.5 EXI AT","Kochi",2006,99583,"Petrol","Automatic","Third",1493,100,5,2.21,"Honda","Gama media",12,0,0.322801440355293
